Rk_x,player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Rk_y,Player,Tm,2024-2025,2025-2026,2026-2027,2027-2028,2028-2029,2029-2030,Guaranteed
25,Cam Thomas,23,BRK,SG,25,23,31.2,8.0,18.2,.438,2.7,7.8,.349,5.2,10.4,.506,.513,5.3,6.0,.881,0.6,2.7,3.3,3.8,0.6,0.1,2.5,1.8,24.0,271,Cam Thomas,BRK,"$4,041,249",,,,,,"$4,041,249"
83,Malik Beasley,28,DET,SG,76,17,27.9,5.6,12.9,.434,3.9,9.2,.421,1.7,3.7,.466,.584,1.2,1.7,.679,0.6,2.1,2.7,1.7,0.9,0.1,1.1,1.6,16.3,226,Malik Beasley,DET,"$6,000,000",,,,,,"$6,000,000"
89,Jonathan Kuminga,22,GSW,PF,41,10,25.0,5.7,12.5,.455,1.0,3.3,.319,4.6,9.2,.504,.497,3.5,5.3,.665,1.2,3.4,4.6,2.2,0.9,0.5,1.5,1.9,16.0,202,Jonathan Kuminga,GSW,"$7,636,307",,,,,,"$7,636,307"
90,Myles Turner,28,IND,C,67,67,30.4,5.4,11.2,.481,2.2,5.4,.401,3.2,5.8,.557,.578,2.4,3.1,.777,1.2,5.4,6.6,1.6,0.8,1.9,1.7,2.6,15.4,87,Myles Turner,IND,"$19,928,500",,,,,,"$19,928,500"
105,Josh Giddey,22,CHI,PG,67,66,29.9,5.2,11.2,.463,1.5,4.0,.377,3.7,7.3,.510,.530,2.4,3.0,.775,1.8,6.0,7.8,7.0,1.2,0.6,2.9,1.7,14.3,189,Josh Giddey,CHI,"$8,352,367",,,,,,"$8,352,367"
109,Quentin Grimes,24,2TM,SG,70,32,26.2,5.0,10.5,.476,2.1,5.3,.391,2.9,5.1,.564,.576,2.0,2.7,.759,0.8,3.4,4.2,2.8,1.0,0.3,1.8,1.8,14.1,266,Quentin Grimes,PHI,"$4,296,682",,,,,,"$4,296,682"
109,Quentin Grimes,24,DAL,SG,47,12,22.8,3.6,7.8,.463,1.7,4.3,.398,1.9,3.5,.543,.573,1.3,1.7,.765,0.6,3.2,3.8,2.1,0.7,0.2,1.3,1.7,10.2,266,Quentin Grimes,PHI,"$4,296,682",,,,,,"$4,296,682"
109,Quentin Grimes,24,PHI,SG,23,20,33.3,7.8,16.0,.489,2.9,7.5,.384,5.0,8.5,.582,.579,3.5,4.6,.755,1.0,3.9,4.9,4.3,1.6,0.5,2.8,2.1,22.0,266,Quentin Grimes,PHI,"$4,296,682",,,,,,"$4,296,682"
110,Tre Mann,23,CHO,PG,13,0,24.5,5.4,12.4,.435,1.8,4.6,.400,3.5,7.8,.455,.509,1.5,1.6,.905,0.9,2.0,2.9,3.0,0.5,0.3,1.9,1.8,14.1,250,Tre Mann,CHO,"$4,908,373",,,,,,"$4,908,373"
119,Dennis Schröder,31,3TM,PG,70,46,27.9,4.6,11.2,.407,1.7,5.1,.341,2.8,6.1,.463,.485,2.4,2.9,.846,0.3,2.3,2.6,5.5,0.9,0.2,1.9,2.5,13.3,121,Dennis Schröder,DET,"$13,025,250",,,,,,"$13,025,250"
119,Dennis Schröder,31,BRK,PG,23,23,33.6,6.4,14.1,.452,2.5,6.5,.387,3.9,7.6,.509,.542,3.1,3.5,.889,0.2,2.8,3.0,6.6,1.1,0.2,2.6,2.4,18.4,121,Dennis Schröder,DET,"$13,025,250",,,,,,"$13,025,250"
119,Dennis Schröder,31,GSW,SG,24,18,26.2,3.9,10.5,.375,1.5,4.8,.322,2.4,5.7,.419,.448,1.2,1.6,.744,0.4,1.9,2.3,4.4,1.0,0.1,2.0,2.8,10.6,121,Dennis Schröder,DET,"$13,025,250",,,,,,"$13,025,250"
119,Dennis Schröder,31,DET,PG,23,5,24.0,3.4,9.0,.377,1.1,3.9,.289,2.3,5.1,.444,.440,3.0,3.5,.852,0.4,2.2,2.6,5.4,0.6,0.2,1.1,2.2,10.9,121,Dennis Schröder,DET,"$13,025,250",,,,,,"$13,025,250"
122,Brook Lopez,36,MIL,C,74,74,32.1,4.9,9.6,.509,1.8,4.7,.374,3.1,4.9,.639,.601,1.4,1.7,.827,1.4,3.6,5.0,1.8,0.7,1.8,1.1,2.2,13.0,74,Brook Lopez,MIL,"$23,000,000",,,,,,"$23,000,000"
124,Drew Timme,24,BRK,PF,3,0,24.7,5.7,9.3,.607,0.7,3.0,.222,5.0,6.3,.789,.643,1.0,1.3,.750,2.7,3.7,6.3,1.7,0.0,0.3,1.7,2.3,13.0,,,,,,,,,,
127,D'Angelo Russell,28,2TM,PG,57,35,25.8,4.4,11.1,.394,2.0,6.2,.317,2.4,4.8,.493,.483,2.1,2.5,.834,0.4,2.5,2.8,5.2,1.0,0.4,1.9,2.0,12.8,93,D'Angelo Russell,BRK,"$18,692,307",,,,,,"$18,692,307"
127,D'Angelo Russell,28,LAL,PG,29,10,26.3,4.4,10.7,.415,1.9,5.8,.333,2.5,4.9,.510,.505,1.6,1.8,.849,0.3,2.5,2.8,4.7,0.8,0.1,1.7,1.8,12.4,93,D'Angelo Russell,BRK,"$18,692,307",,,,,,"$18,692,307"
127,D'Angelo Russell,28,BRK,PG,28,25,25.2,4.3,11.5,.374,2.0,6.7,.303,2.3,4.8,.474,.463,2.7,3.3,.826,0.4,2.5,2.9,5.7,1.2,0.7,2.0,2.1,13.3,93,D'Angelo Russell,BRK,"$18,692,307",,,,,,"$18,692,307"
128,Santi Aldama,24,MEM,PF,60,16,25.4,5.0,10.3,.484,1.9,5.0,.368,3.1,5.2,.596,.574,1.0,1.5,.697,1.5,5.0,6.6,2.9,0.8,0.5,1.1,1.1,12.8,276,Santi Aldama,MEM,"$3,960,531",,,,,,"$3,960,531"
129,Malcolm Brogdon,32,WAS,PG,24,13,23.5,4.3,10.0,.433,0.7,2.3,.286,3.7,7.7,.478,.467,3.4,3.8,.880,0.9,2.9,3.8,4.1,0.5,0.2,1.6,1.3,12.7,78,Malcolm Brogdon,WAS,"$22,500,000",,,,,,"$22,500,000"
139,Ty Jerome,27,CLE,SG,67,2,19.7,4.4,8.6,.509,1.5,3.6,.431,2.9,5.1,.563,.598,1.9,2.1,.868,0.7,1.8,2.5,3.3,1.1,0.0,1.3,1.5,12.2,327,Ty Jerome,CLE,"$2,560,975",,,,,,"$2,560,975"
145,Caris LeVert,30,2TM,SG,59,3,24.9,4.2,9.2,.462,1.6,4.4,.369,2.6,4.8,.548,.551,1.6,2.3,.708,0.6,2.5,3.1,3.3,0.9,0.5,1.2,1.5,11.7,104,Caris LeVert,ATL,"$16,615,384",,,,,,"$16,615,384"
145,Caris LeVert,30,CLE,SF,38,3,23.8,3.6,7.8,.453,1.6,3.9,.405,2.0,3.9,.500,.554,1.5,2.2,.699,0.6,2.2,2.8,3.7,0.9,0.5,1.3,1.3,10.2,104,Caris LeVert,ATL,"$16,615,384",,,,,,"$16,615,384"
