Rk_x,player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Rk_y,Player,Tm,2024-2025,2025-2026,2026-2027,2027-2028,2028-2029,2029-2030,Guaranteed
1,Shai Gilgeous-Alexander,26,OKC,PG,73,73,34.2,11.3,21.7,.520,2.1,5.7,.373,9.2,16.0,.572,.569,8.1,9.0,.901,0.9,4.1,5.0,6.3,1.7,1.0,2.4,2.1,32.8,34,Shai Gilgeous-Alexander,OKC,"$35,859,950","$38,333,050","$40,806,150",,,,"$114,999,150"
2,Giannis Antetokounmpo,30,MIL,PF,62,62,34.0,11.9,19.8,.602,0.2,0.9,.200,11.7,18.9,.621,.606,6.4,10.5,.611,2.2,9.5,11.8,6.0,0.9,1.2,3.2,2.5,30.4,12,Giannis Antetokounmpo,MIL,"$48,787,676","$54,126,450","$58,456,566","$62,786,682",,,"$161,370,692"
3,Nikola Jokić,29,DEN,C,65,65,36.7,11.3,19.6,.575,2.0,4.7,.416,9.3,14.9,.625,.625,5.3,6.6,.803,2.9,9.9,12.8,10.2,1.8,0.7,3.3,2.3,29.7,3,Nikola Jokić,DEN,"$51,415,938","$55,224,526","$59,033,114","$62,841,702",,,"$165,673,578"
4,Luka Dončić,25,2TM,PG,44,44,35.4,9.0,20.6,.440,3.5,9.7,.357,5.6,10.8,.514,.524,6.1,7.8,.781,0.8,7.6,8.4,7.9,1.9,0.4,3.7,2.6,27.7,18,Luka Dončić,LAL,"$43,031,940","$45,999,660","$48,967,380",,,,"$89,031,600"
4,Luka Dončić,25,DAL,PG,22,22,35.7,9.8,21.2,.464,3.4,9.6,.354,6.4,11.5,.555,.544,5.1,6.6,.767,0.7,7.6,8.3,7.8,2.0,0.4,3.4,2.6,28.1,18,Luka Dončić,LAL,"$43,031,940","$45,999,660","$48,967,380",,,,"$89,031,600"
4,Luka Dončić,25,LAL,PG,22,22,35.1,8.3,20.0,.415,3.5,9.8,.361,4.7,10.1,.466,.503,7.1,9.0,.792,0.9,7.5,8.5,7.9,1.7,0.5,4.0,2.5,27.2,18,Luka Dončić,LAL,"$43,031,940","$45,999,660","$48,967,380",,,,"$89,031,600"
5,Anthony Edwards,23,MIN,SG,73,73,36.3,9.0,20.4,.442,4.0,10.2,.394,5.0,10.2,.489,.540,5.3,6.3,.837,0.8,5.0,5.8,4.6,1.1,0.6,3.2,1.8,27.3,21,Anthony Edwards,MIN,"$42,176,400","$45,550,512","$48,924,624","$52,298,736","$55,672,848",,"$244,623,120"
6,Jayson Tatum,26,BOS,PF,69,69,36.4,9.2,20.4,.452,3.5,10.1,.346,5.7,10.3,.556,.538,5.0,6.2,.815,0.7,8.0,8.7,5.9,1.1,0.5,3.0,2.2,27.0,39,Jayson Tatum,BOS,"$34,848,340","$54,126,450","$58,456,566","$62,786,682","$67,116,798","$71,446,914","$277,334,836"
7,Kevin Durant,36,PHO,PF,62,62,36.5,9.5,18.1,.527,2.6,6.0,.430,7.0,12.1,.574,.598,4.9,5.8,.839,0.4,5.7,6.0,4.2,0.8,1.2,3.1,1.7,26.6,4,Kevin Durant,PHO,"$51,179,021","$54,708,609",,,,,"$105,887,630"
8,Jalen Brunson,28,NYK,PG,61,61,35.4,9.1,18.7,.490,2.3,6.0,.384,6.9,12.7,.541,.552,5.7,7.0,.825,0.4,2.6,3.0,7.4,1.0,0.1,2.5,2.2,26.3,66,Jalen Brunson,NYK,"$24,960,001","$34,944,001","$37,739,521","$40,535,041","$43,330,561",,"$138,178,564"
9,Tyrese Maxey,24,PHI,PG,52,52,37.7,9.2,21.0,.437,3.1,9.2,.337,6.1,11.8,.515,.511,4.9,5.6,.879,0.3,3.1,3.3,6.1,1.8,0.4,2.4,2.2,26.3,37,Tyrese Maxey,PHI,"$35,147,000","$37,958,760","$40,770,520","$43,582,280","$46,394,040",,"$203,852,600"
10,Paolo Banchero,22,ORL,PF,43,43,34.3,8.9,19.7,.453,1.9,5.9,.314,7.0,13.7,.513,.500,6.1,8.4,.727,1.1,6.2,7.3,4.7,0.8,0.6,3.0,2.1,25.8,139,Paolo Banchero,ORL,"$12,160,800","$15,334,769",,,,,"$27,495,569"
11,Cade Cunningham,23,DET,PG,66,66,35.2,9.6,20.7,.462,2.1,6.0,.354,7.4,14.7,.506,.513,4.5,5.2,.858,0.8,5.3,6.1,9.2,1.0,0.7,4.5,2.8,25.7,118,Cade Cunningham,DET,"$13,940,809","$38,661,750","$41,754,690","$44,847,630","$47,940,570","$51,033,510","$238,178,959"
12,Devin Booker,28,PHO,SG,70,70,37.4,8.6,18.8,.456,2.5,7.5,.338,6.0,11.2,.536,.524,5.9,6.6,.895,1.0,3.1,4.1,7.1,0.9,0.2,2.9,2.7,25.5,7,Devin Booker,PHO,"$49,205,800","$53,142,264","$57,078,728","$61,015,192",,,"$220,441,984"
13,LaMelo Ball,23,CHO,PG,47,47,32.0,8.6,21.3,.405,3.8,11.2,.339,4.8,10.1,.478,.494,4.1,4.9,.843,1.0,3.9,4.9,7.4,1.1,0.3,3.6,3.3,25.2,38,LaMelo Ball,CHO,"$35,147,000","$37,958,760","$40,770,520","$43,582,280","$46,394,040",,"$203,852,600"
14,Anthony Davis,31,2TM,PF,48,48,33.6,9.3,17.9,.520,0.7,2.3,.295,8.6,15.6,.553,.539,5.6,7.3,.777,2.6,9.0,11.6,3.4,1.2,2.1,2.1,1.9,25.0,17,Anthony Davis,DAL,"$43,219,440","$54,126,450","$58,456,566","$62,786,682",,,"$155,802,456"
14,Anthony Davis,31,LAL,C,42,42,34.3,9.5,18.0,.528,0.7,2.2,.298,8.9,15.8,.560,.546,6.0,7.6,.788,2.8,9.0,11.9,3.4,1.3,2.1,2.2,2.0,25.7,17,Anthony Davis,DAL,"$43,219,440","$54,126,450","$58,456,566","$62,786,682",,,"$155,802,456"
