Rk,player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Shai Gilgeous-Alexander,26,OKC,PG,73,73,34.2,11.3,21.7,.520,2.1,5.7,.373,9.2,16.0,.572,.569,8.1,9.0,.901,0.9,4.1,5.0,6.3,1.7,1.0,2.4,2.1,32.8
2,Giannis Antetokounmpo,30,MIL,PF,62,62,34.0,11.9,19.8,.602,0.2,0.9,.200,11.7,18.9,.621,.606,6.4,10.5,.611,2.2,9.5,11.8,6.0,0.9,1.2,3.2,2.5,30.4
3,Nikola Jokić,29,DEN,C,65,65,36.7,11.3,19.6,.575,2.0,4.7,.416,9.3,14.9,.625,.625,5.3,6.6,.803,2.9,9.9,12.8,10.2,1.8,0.7,3.3,2.3,29.7
4,Luka Dončić,25,2TM,PG,44,44,35.4,9.0,20.6,.440,3.5,9.7,.357,5.6,10.8,.514,.524,6.1,7.8,.781,0.8,7.6,8.4,7.9,1.9,0.4,3.7,2.6,27.7
4,Luka Dončić,25,DAL,PG,22,22,35.7,9.8,21.2,.464,3.4,9.6,.354,6.4,11.5,.555,.544,5.1,6.6,.767,0.7,7.6,8.3,7.8,2.0,0.4,3.4,2.6,28.1
4,Luka Dončić,25,LAL,PG,22,22,35.1,8.3,20.0,.415,3.5,9.8,.361,4.7,10.1,.466,.503,7.1,9.0,.792,0.9,7.5,8.5,7.9,1.7,0.5,4.0,2.5,27.2
5,Anthony Edwards,23,MIN,SG,73,73,36.3,9.0,20.4,.442,4.0,10.2,.394,5.0,10.2,.489,.540,5.3,6.3,.837,0.8,5.0,5.8,4.6,1.1,0.6,3.2,1.8,27.3
6,Jayson Tatum,26,BOS,PF,69,69,36.4,9.2,20.4,.452,3.5,10.1,.346,5.7,10.3,.556,.538,5.0,6.2,.815,0.7,8.0,8.7,5.9,1.1,0.5,3.0,2.2,27.0
7,Kevin Durant,36,PHO,PF,62,62,36.5,9.5,18.1,.527,2.6,6.0,.430,7.0,12.1,.574,.598,4.9,5.8,.839,0.4,5.7,6.0,4.2,0.8,1.2,3.1,1.7,26.6
8,Jalen Brunson,28,NYK,PG,61,61,35.4,9.1,18.7,.490,2.3,6.0,.384,6.9,12.7,.541,.552,5.7,7.0,.825,0.4,2.6,3.0,7.4,1.0,0.1,2.5,2.2,26.3
